Direction,Separation_mu,Init_mu_q,Learning_Rate,Final_mu_q,Final_var_q,Iterations,Final_Loss
forward,3.0,1.0,0.005,0.0005,10.0276,3000,2.5759
reverse,3.0,1.0,0.005,0.0095,7.3875,3000,0.7883
forward,3.0,1.0,0.01,0.0032,10.0709,3000,2.5769
reverse,3.0,1.0,0.01,0.0557,7.7683,3000,0.8147
forward,3.0,1.0,0.05,0.0631,10.1568,3000,2.5701
reverse,3.0,1.0,0.05,-0.2129,7.105,3000,0.8195
forward,3.0,1.0,0.1,0.0333,9.5095,3000,2.5812
reverse,3.0,1.0,0.1,-0.069,7.5255,3000,0.753
forward,3.0,1.0,0.2,0.0203,9.9389,3000,2.5597
reverse,3.0,1.0,0.2,-0.0595,7.1312,3000,0.8065
